datetime,datetime_nano,SHFE.cu2606.open,SHFE.cu2606.high,SHFE.cu2606.low,SHFE.cu2606.close,SHFE.cu2606.volume,SHFE.cu2606.open_oi,SHFE.cu2606.close_oi
2026-01-06 21:56:00.000000000,1767707760000000000,104530,104680,104530,104600,31,29110,29109
2026-01-06 21:57:00.000000000,1767707820000000000,104600,104610,104540,104610,13,29109,29108
2026-01-06 21:58:00.000000000,1767707880000000000,104610,104660,104570,104590,16,29108,29104
2026-01-06 21:59:00.000000000,1767707940000000000,104590,104650,104590,104630,5,29104,29105
2026-01-06 22:00:00.000000000,1767708000000000000,104630,104700,104630,104670,13,29105,29105
2026-01-06 22:01:00.000000000,1767708060000000000,104670,104700,104630,104700,23,29105,29114
2026-01-06 22:02:00.000000000,1767708120000000000,104700,104850,104700,104840,89,29114,29095
2026-01-06 22:03:00.000000000,1767708180000000000,104840,104840,104710,104770,36,29095,29101
2026-01-06 22:04:00.000000000,1767708240000000000,104770,104810,104770,104770,27,29101,29114
2026-01-06 22:05:00.000000000,1767708300000000000,104770,104810,104750,104750,12,29114,29117
2026-01-06 22:06:00.000000000,1767708360000000000,104750,104850,104730,104840,24,29117,29117
2026-01-06 22:07:00.000000000,1767708420000000000,104840,104870,104730,104800,24,29117,29120
2026-01-06 22:08:00.000000000,1767708480000000000,104800,104810,104730,104740,14,29120,29119
2026-01-06 22:09:00.000000000,1767708540000000000,104740,104810,104740,104810,3,29119,29118
2026-01-06 22:10:00.000000000,1767708600000000000,104810,104890,104790,104820,34,29118,29106
2026-01-06 22:11:00.000000000,1767708660000000000,104820,104830,104780,104810,7,29106,29108
2026-01-06 22:12:00.000000000,1767708720000000000,104810,104860,104800,104820,9,29108,29112
2026-01-06 22:13:00.000000000,1767708780000000000,104820,104820,104630,104720,32,29112,29109
2026-01-06 22:14:00.000000000,1767708840000000000,104720,104730,104640,104730,13,29109,29112
2026-01-06 22:15:00.000000000,1767708900000000000,104730,104940,104730,104940,12,29112,29112
2026-01-06 22:16:00.000000000,1767708960000000000,104940,104940,104700,104700,26,29112,29117
2026-01-06 22:17:00.000000000,1767709020000000000,104700,104790,104700,104720,13,29117,29117
2026-01-06 22:18:00.000000000,1767709080000000000,104720,104760,104720,104760,11,29117,29123
