datetime,datetime_nano,SHFE.ni2607.open,SHFE.ni2607.high,SHFE.ni2607.low,SHFE.ni2607.close,SHFE.ni2607.volume,SHFE.ni2607.open_oi,SHFE.ni2607.close_oi
2026-01-06 13:34:00.000000000,1767677640000000000,141330,141330,141140,141140,5,2315,2315
2026-01-06 13:35:00.000000000,1767677700000000000,141140,141190,141140,141150,4,2315,2312
2026-01-06 13:36:00.000000000,1767677760000000000,141150,141200,141120,141200,3,2312,2311
2026-01-06 13:37:00.000000000,1767677820000000000,141200,141200,141100,141100,2,2311,2311
2026-01-06 13:38:00.000000000,1767677880000000000,141100,141100,140710,140900,8,2311,2308
2026-01-06 13:39:00.000000000,1767677940000000000,140900,140900,140410,140530,16,2308,2305
2026-01-06 13:40:00.000000000,1767678000000000000,140530,140700,140530,140580,5,2305,2303
2026-01-06 13:41:00.000000000,1767678060000000000,140580,140760,140580,140760,3,2303,2303
2026-01-06 13:42:00.000000000,1767678120000000000,140760,140760,140760,140760,0,2303,2303
2026-01-06 13:43:00.000000000,1767678180000000000,140760,140770,140730,140770,2,2303,2301
2026-01-06 13:44:00.000000000,1767678240000000000,140770,140770,140660,140660,1,2301,2300
2026-01-06 13:45:00.000000000,1767678300000000000,140660,140660,140660,140660,0,2300,2300
2026-01-06 13:46:00.000000000,1767678360000000000,140660,140660,140660,140660,0,2300,2300
2026-01-06 13:47:00.000000000,1767678420000000000,140660,140660,140340,140340,6,2300,2300
2026-01-06 13:48:00.000000000,1767678480000000000,140340,140340,140340,140340,0,2300,2300
2026-01-06 13:49:00.000000000,1767678540000000000,140340,140340,140340,140340,0,2300,2300
2026-01-06 13:50:00.000000000,1767678600000000000,140340,140340,140340,140340,0,2300,2300
2026-01-06 13:51:00.000000000,1767678660000000000,140340,140340,140340,140340,0,2300,2300
2026-01-06 13:52:00.000000000,1767678720000000000,140340,140420,140280,140280,3,2300,2298
2026-01-06 13:53:00.000000000,1767678780000000000,140280,140280,139890,140140,11,2298,2298
2026-01-06 13:54:00.000000000,1767678840000000000,140140,140170,140050,140170,2,2298,2297
2026-01-06 13:55:00.000000000,1767678900000000000,140170,140230,140120,140210,3,2297,2297
2026-01-06 13:56:00.000000000,1767678960000000000,140210,140210,139940,139940,1,2297,2297
2026-01-06 13:57:00.000000000,1767679020000000000,139940,139950,139730,139750,15,2297,2299
2026-01-06 13:58:00.000000000,1767679080000000000,139750,139880,139750,139880,7,2299,2300
2026-01-06 13:59:00.000000000,1767679140000000000,139880,140020,139850,139970,5,2300,2301
2026-01-06 14:00:00.000000000,1767679200000000000,139970,139970,139970,139970,0,2301,2301
2026-01-06 14:01:00.000000000,1767679260000000000,139970,140060,139920,140060,3,2301,2301
2026-01-06 14:02:00.000000000,1767679320000000000,140060,140060,140060,140060,0,2301,2301
2026-01-06 14:03:00.000000000,1767679380000000000,140060,140060,140060,140060,0,2301,2301
2026-01-06 14:04:00.000000000,1767679440000000000,140060,140570,140060,140480,5,2301,2301
2026-01-06 14:05:00.000000000,1767679500000000000,140480,140480,140480,140480,0,2301,2301
2026-01-06 14:06:00.000000000,1767679560000000000,140480,140480,140460,140460,1,2301,2301
2026-01-06 14:07:00.000000000,1767679620000000000,140460,140500,140460,140500,1,2301,2301
